id,imageOne,imageTwo,imageThree,imageFour,description,price,address,slug
1,image_1a.webp,image_1b.webp,image_1c.webp,image_1d.webp,"Here is your chance to own a beautiful home on the lovely Lake Ariana. This gorgeous 3 BR/2 1/2 BA home has been completely remodeled. There wasn't an expense spared on this beauty. The view from the Family Room overlooking Lake Ariana is absolutely stunning. There is brand new Luxury Vinyl Plank flooring and large ceramic tile in every room of the home with the exception of the bedrooms, where there is brand new carpet. The countertops in the kitchen, island and all bathrooms are granite. The cabinets are brand new. All of the appliances are brand new. You will love the accent farm doors that close off the private Dining Room and the spacious Family Room. The oversized kitchen has an open concept that leads into the Great Room. The Great Room is huge and features a wood burning fireplace and sliding glass doors, with internal blinds, that lead to the large fenced in back yard. The Master Bedroom is large, and the Master Bathroom has been completely remodeled. The other 2 bedrooms are big, and the other bathroom has been completely remodeled. The roof, AC and hot water heater are brand new. With this home you also ownl the lot that is directly in front of the home, on the water. Perfect for when you are ready to build your own private boat dock. This home is a can't miss, and I think you will say the same once you experience the beauty in person.",550000,"1316 Lake Ariana Blvd, Auburndale, FL 33823",1316-Lake-Ariana-Blvd-Auburndale-FL-33823
2,image_2a.webp,image_2b.webp,image_2c.webp,image_2d.webp,"Here it is BACK ON THE MARKET. BUYER FINANCING FELL THROUGH.. Here's a beautifully TOTALLY RENOVATED 3 BEDROOM, 2 BATHROOM HOME. This home was once a 2 bed 1 bath but was remodeled to add an updated feel and add more functionality. You are going to fall in love with your NEW KITCHEN that's complete with NEW CABINETS and STAINLESS STEEL APPLIANCES (not shown in photos). There are a TON of new features including a NEW TANKLESS WATER HEATER, a NEW HVAC CONDENSER and all-new PLUMBING and ELECTRICAL WIRING!! Your new home is located only steps away from Lake Ariana which has a public boat ramp and is a great place for fishing, swimming, water skis, kayaking, and other popular water-related activities. This real estate market is moving fast so make this home yours today!!",240000,121 Herbert St Auburndale FL 33823,121-Herbert-St-Auburndale-FL-33823
3,image_3a.webp,image_3b.webp,image_3c.webp,image_3d.webp,"Just hitting the market, property for sale at 2336 West Cannon Terrace Northwest, Winter Haven, FL, USA. Remodeled, cozy lakeside home on the chain of lakes. 5 ton AC unit only a year old. Open outdoor covered pavilion. Newly remolded kitchen and master bath. Only SERIOUS buyers.",550000,"2336 W Cannon Ter NW, Winter Haven",2336-W-Cannon-Ter-NW-Winter-Haven
4,image_4a.webp,image_4b.webp,image_4c.webp,image_4d.webp,"The thoughtfully designed Slate floor plan opens with two bedrooms flanking a full hall bath. Beyond the entry, you'll find an open layout with a dining nook, a great room with access to an inviting covered patio, and a kitchen with a center island, walk-in pantry and abundant cabinetry. The owner's suite is nearby, offering a generous walk-in closet and a private bath with optional dual sinks, a shower and a separate soaking tub. A laundry room and a fourth bedroom with its own private bath complete the home. Choose the 3-car garage option for added space!",375000,Eden Hills Lake Alfred FL 33850,Eden-Hills-Lake-Alfred-FL-33850
5,image_5a.webp,image_5b.webp,image_5c.webp,image_5d.webp,"Eden Hills presents the Hayden, available to build in Lake Alfred, Florida. This amazing all concrete block construction single-family home features 5 bedrooms and 3 bathrooms optimizing living space with an open concept feel. The kitchen overlooks the dining and great room, while having view to the covered lanai outside. Ample windows and a set of sliding glass doors allow lighting into the living area. The well-appointed kitchen features an island with bar seating, plentiful cabinet and counter space and stainless steel appliances, making entertaining a breeze. The first floor also features a flex room that provides an area for work or play, a bedroom, and full bathroom. As we head up to the second floor, we are greeted with bedroom one that features an ensuite bathroom as well as three additional bedrooms that surround a second living area, a full bathroom, and a laundry area. Like all homes in Eden Hills, the Hayden includes a Home is Connected smart home technology package which allows you to control your home with your smart device while near or away. Pictures, photographs, colors, features, and sizes are for illustration purposes only and will vary from the homes as built. Home and community information including pricing, included features, terms, availability and amenities are subject to change and prior sale at any time without notice or obligation.",390000,"HAYDEN, Eden Hills, Lake Alfred, FL 33850",HAYDEN-Eden-Hills-Lake-Alfred-FL-33850
6,image_6a.webp,image_6b.webp,image_6c.webp,image_6d.webp,"Eden Hills presents the Freeport, available to build in Lake Alfred, Florida. This all concrete block constructed, one-story layout optimizes living space with an open concept. As you enter the foyer you are greeted with two guest bedrooms and guest bathroom with a vanity sink. Linen closet is located in between the guest bathroom and guest bedroom, creating easy access. Take a walk down the hallway and you are greeted with bedroom 4, private space for washer and dryer and an entrance to the 2 car garage. The well-appointed kitchen overlooks the great room and patio making entertaining a breeze. This community has stainless steel appliances, making cooking a piece of cake. Bedroom one, located off the great room in the back of the home for privacy. The bedroom one bathroom impresses with a vanity, and spacious shower/tub space as well as a spacious walk in closet. Like all homes in Eden Hills, the Freeport includes a Home is Connected smart home technology package which allows you to control your home with your smart device while near or away.Pictures, photographs, colors, features, and sizes are for illustration purposes only and will vary from the homes as built. Home and community information including pricing, included features, terms, availability and amenities are subject to change and prior sale at any time without notice or obligation.",320000,"FREEPORT, Eden Hills, Lake Alfred, FL 33850",FREEPORT-Eden-Hills-Lake-Alfred-FL-33850
7,image_7a.webp,image_7b.webp,image_7c.webp,image_7d.webp,"Welcome to this 4 bedroom, 2.5 bathroom home in the highly sought after Jackson Glen neighborhood. Enter into the 2-story foyer and family room, open and lots of light! The eat-in kitchen has a view to the Family Room and is perfect for entertaining. This home features hardwood floors throughout main level, 3 bedrooms upstairs including a finished bonus room, master on main, and a 2 car garage Community features a pond, swimming pool, and tennis court. Home is a must see!",201200,"196 Roosevelt Blvd, Jackson, GA 30233",196-Roosevelt Blvd-Jackson-GA-30233
8,image_8a.webp,image_8b.webp,image_8c.webp,image_8d.webp,"This home that backs to a greenbelt is located in the Stonewater community. This 4 bedroom, 2.5 bath home features an open floor plan vaulted ceilings, and a nicely equipped kitchen with ample cabinet space, and a separate dining area. The downstairs primary room boasts a generous walk-in closet and ensuite bath with a walk-in shower. Step outside to the back patio to enjoy the peaceful scenery.",462500,"11709 Andesite Rd, Manor, TX 78653",11709-Andesite-Rd-Manor-TX-78653
9,image_9a.webp,image_9b.webp,image_9c.webp,image_9d.webp,"A must see, beautiful home in the Wildcat Cliffs subdivision. Freshly painted and new flooring on first floor with in-law suit on main level with full bath. Large Master suite with double vanity and large walk-in closet. Basement has bedrooms and lots of usable space. A must see!!",409500,"2150 Wildcat Cliffs Way, Lawrenceville, GA 30043",2150-Wildcat-Cliffs-Way-Lawrenceville-GA-30043
10,image_10a.webp,image_10b.webp,image_10c.webp,image_10d.webp,"Fall in love with this 4 bedroom, 2.5 bathroom home in Hapeville! An expansive front porch with room for seating greets you as you arrive. Inside, radiant flooring accentuates the warm and open-concept living space. You will love the kitchen that offers quartz countertops, a gas range, matching stainless steel appliances, and an island. Upstairs, the primary bedroom enjoys a spacious closet and an en suite bathroom with dual sinks and a soaking tub. The fenced backyard is the perfect space to entertain! Conveniently located near shopping, dining, and major highways!",425500,"3115 Dogwood Dr, Hapeville, GA 30354",3115-Dogwood-Dr-Hapeville-GA-30354
